coeff,TMR,FMR
0.5473015606403351,0.05,0.0
0.6062171161174774,0.10010869565217391,0.0
0.648502379655838,0.15,0.0
0.6846149861812592,0.2001086956521739,0.0
0.7144003212451935,0.25,0.0
0.7420569360256195,0.3001086956521739,0.0
0.7707956731319427,0.3501086956521739,0.0
0.7944569289684296,0.40010869565217394,0.0
0.8212883174419403,0.45010869565217393,0.0
0.8441974222660065,0.5,0.0
0.8694703876972198,0.55,0.0
0.895467609167099,0.600108695652174,0.0
0.9210087358951569,0.65,0.0
0.9504403173923492,0.7,0.00032608695652173916
0.9837673008441925,0.75,0.0009782608695652175
1.0212131142616272,0.8,0.0020652173913043477
1.0665014386177063,0.85,0.003260869565217391
1.1365676522254944,0.9,0.004782608695652174
1.2655438780784607,0.9501086956521739,0.013695652173913043
2.0,0.9978260869565218,0.296195652173913
