coeff,TMR,FMR
0.38592529296875,0.04994157172071283,0.0
0.42828369140625,0.10001460706982179,0.0
0.45843505859375,0.15001460706982178,0.0
0.48504638671875,0.20008764241893076,1.4607069821793749e-05
0.50823974609375,0.2501460706982179,7.303534910896874e-05
0.53009033203125,0.3001022494887526,0.00017528483786152498
0.55059814453125,0.350073035349109,0.00037978381536663745
0.57159423828125,0.39991235758106924,0.0007303534910896875
0.59222412109375,0.45014607069821794,0.001343850423605025
0.61322021484375,0.4999561787905346,0.0022348816827344434
0.63568115234375,0.5500292141396436,0.0036225533158048494
0.65899658203125,0.6000730353491089,0.005404615834063687
0.68414306640625,0.6500438212094654,0.0075518550978673675
0.71173095703125,0.7000584282792872,0.010502483201869705
0.74200439453125,0.7500292141396436,0.014913818288051417
0.77777099609375,0.8,0.02139935728892784
0.82318115234375,0.8500146070698218,0.03236926672509494
0.88604736328125,0.9000146070698218,0.05382705229330996
0.99114990234375,0.9499853929301783,0.10119777972538709
3.99993896484375,0.9999853929301782,0.9995617879053462
