coeff,TMR,FMR
0.5610315501689911,0.0500146070698218,0.0
0.617956668138504,0.1,0.0
0.6582806408405304,0.15,0.0
0.6916858851909637,0.2000146070698218,0.0
0.7203425467014313,0.25,0.0
0.7471913397312164,0.3,1.4607069821793749e-05
0.771836131811142,0.3500146070698218,4.3821209465381244e-05
0.7954660952091217,0.4,0.00010224948875255624
0.8196295201778412,0.45001460706982177,0.00027753432661408123
0.844019740819931,0.5000146070698218,0.0005404615834063687
0.8694083392620087,0.5500146070698217,0.0009640666082383874
0.8954762518405914,0.6,0.0016652059596844874
0.9228834807872772,0.6500146070698218,0.002556237218813906
0.9533244073390961,0.7000146070698218,0.004192229038854806
0.9873623549938202,0.7500146070698218,0.006777680397312299
1.0269061923027039,0.8000146070698217,0.01102833771545428
1.0746039748191833,0.8500146070698218,0.019003797838153667
1.1401676535606384,0.9000146070698218,0.03289512123867952
1.2549471259117126,0.9500146070698218,0.06403739409874379
2.0,0.9984808647385335,0.5582676015191352
