coeff,TMR,FMR
0.15057373046875,0.04991235758106924,0.0
0.16705322265625,0.09967864446392054,0.0
0.17852783203125,0.1502191060473269,0.0
0.18768310546875,0.19983932223196027,0.0
0.19598388671875,0.25033596260590124,0.0
0.20355224609375,0.3001022494887526,4.3821209465381244e-05
0.21087646484375,0.35017528483786153,0.00013146362839614373
0.21820068359375,0.4004528191644756,0.00037978381536663745
0.22515869140625,0.4495617879053462,0.0008472100496640374
0.23248291015625,0.5003651767455448,0.0013000292141396436
0.23980712890625,0.5497955010224949,0.0025708442886356996
0.24761962890625,0.6000292141396436,0.003710195734735612
0.25579833984375,0.6498831434414256,0.005302366345311131
0.26507568359375,0.7001606777680397,0.008399065147531404
0.27520751953125,0.7499853929301782,0.012912649722465674
0.28704833984375,0.8001898919076833,0.01901840490797546
0.30169677734375,0.8500730353491089,0.02899503359626059
0.32171630859375,0.9000876424189308,0.04621676891615542
0.35577392578125,0.9500438212094654,0.08518843120070115
3.99993896484375,1.0,1.0
