coeff,TMR,FMR
0.33880615234375,0.05003134796238245,0.0
0.39337158203125,0.1,0.0
0.43084716796875,0.14996865203761756,0.0
0.46038818359375,0.19987460815047023,0.0
0.48724365234375,0.25003134796238247,0.0
0.51055908203125,0.29962382445141067,6.269592476489028e-05
0.53375244140625,0.34996865203761757,6.269592476489028e-05
0.55584716796875,0.4000626959247649,6.269592476489028e-05
0.57830810546875,0.44990595611285267,0.00012539184952978057
0.60186767578125,0.49987460815047025,0.00043887147335423197
0.62384033203125,0.5498432601880878,0.0008150470219435736
0.64678955078125,0.6001253918495297,0.001379310344827586
0.67156982421875,0.6500940438871473,0.002445141065830721
0.69732666015625,0.7,0.00445141065830721
0.72698974609375,0.7501567398119122,0.008087774294670846
0.75933837890625,0.8,0.012978056426332289
0.80023193359375,0.8499686520376175,0.020752351097178684
0.85430908203125,0.9,0.03504702194357367
0.95098876953125,0.9499686520376176,0.07084639498432602
3.99993896484375,1.0,0.9739811912225705
