coeff,TMR,FMR
0.5596218407154083,0.05,0.0
0.6156707108020782,0.1,0.0
0.6568194925785065,0.15,0.0
0.6905467212200165,0.2000146070698218,0.0
0.7184526026248932,0.25,0.0
0.745224803686142,0.3000146070698218,0.0
0.770840972661972,0.3500146070698218,8.764241893076249e-05
0.7952724397182465,0.4000146070698218,0.00017528483786152498
0.8186940252780914,0.45,0.00027753432661408123
0.8432478606700897,0.5000146070698218,0.0006134969325153375
0.868583470582962,0.55,0.001037101957347356
0.8946574628353119,0.6000146070698218,0.0015483494011101374
0.9228213131427765,0.65,0.002600058428279287
0.9525095522403717,0.7,0.004163014899211218
0.9873062074184418,0.7500146070698218,0.007434998539293018
1.0268557667732239,0.8,0.012401402278702893
1.074678122997284,0.8500146070698218,0.021048787613204792
1.1415042281150818,0.9000146070698218,0.03846041484078294
1.2556951642036438,0.95,0.07122407245106632
2.0,0.9984662576687117,0.5564563248612329
