coeff,TMR,FMR
0.33831787109375,0.04996865203761756,0.0
0.39483642578125,0.09987460815047022,0.0
0.43206787109375,0.14996865203761756,0.0
0.46295166015625,0.2000626959247649,0.0
0.48944091796875,0.24990595611285266,0.0
0.51409912109375,0.3,0.0
0.53765869140625,0.34996865203761757,0.00018808777429467084
0.56048583984375,0.4000626959247649,0.0005015673981191223
0.58209228515625,0.4500313479623824,0.0007523510971786833
0.60345458984375,0.5000626959247649,0.0010658307210031348
0.62542724609375,0.5500940438871473,0.0016300940438871473
0.64788818359375,0.6000626959247649,0.0020689655172413794
0.67193603515625,0.6500313479623825,0.0032601880877742946
0.70001220703125,0.7001880877742946,0.0051410658307210035
0.72955322265625,0.7499686520376175,0.006833855799373041
0.76385498046875,0.8,0.010595611285266458
0.80633544921875,0.8504075235109718,0.018746081504702194
0.86749267578125,0.9,0.03642633228840125
0.96563720703125,0.9499686520376176,0.0734796238244514
3.99993896484375,1.0,0.9643887147335424
