coeff,TMR,FMR
0.4888971596956253,0.0496551724137931,0.0
0.5638658106327057,0.1,0.0
0.6144550144672394,0.14996865203761756,0.0
0.658250480890274,0.2,0.0
0.6923872530460358,0.24996865203761756,0.0
0.7262782156467438,0.3,0.0
0.7582474052906036,0.34996865203761757,0.0
0.7864125072956085,0.4,0.00018808777429467084
0.8140462338924408,0.4500313479623824,0.00018808777429467084
0.8419342339038849,0.5,0.00025078369905956113
0.869392067193985,0.5499686520376176,0.0005015673981191223
0.8978622257709503,0.6,0.000689655172413793
0.9265740215778351,0.6499686520376176,0.0011285266457680251
0.95303013920784,0.7,0.0018181818181818182
0.9803290665149689,0.7499686520376175,0.002758620689655172
1.0127602219581604,0.8,0.00445141065830721
1.0550655722618103,0.8500313479623824,0.008589341692789968
1.1106262803077698,0.9,0.019184952978056426
1.214847981929779,0.9500313479623824,0.04213166144200627
2.0,0.9964890282131661,0.4048275862068966
